Dates,Rf,Rm - Rf,SMB,HML,RMW,CMA,WML
31/07/2018,-0.0037,0.00386521,-0.004628974,0.012391977,0.003085207,0.004061995,0.002878558
31/08/2018,-0.0037,-0.00583569,0.021728564,-0.025561591,-0.002044409,-0.008433463,0.006623537
28/09/2018,-0.00371,-0.009434461,0.019933742,-0.019177252,0.019925251,-0.008645581,0.000543738
31/10/2018,-0.0037,0.019713801,-0.018790224,-0.003179258,0.006499248,-0.02417389,-0.00261685
30/11/2018,-0.00369,-0.001850218,0.016583987,-0.021463271,0.014040797,-0.015809727,0.007600245
28/12/2018,-0.00367,0.018818565,-0.013467211,0.002796576,0.005557481,-0.019364128,0.015335715
31/01/2019,-0.00366,0.001866193,0.009357022,-0.022027481,-0.004348055,-0.004845074,-0.003385361
28/02/2019,-0.00368,0.006940316,-0.003965905,0.004950389,0.000447662,0.002837155,0.007355398
29/03/2019,-0.00367,0.011537718,-0.006353359,-0.031258024,-0.006902584,-0.002586439,-0.004007934
30/04/2019,-0.00367,0.00417782,-0.008931131,-0.03252349,0.028670518,-0.017851788,0.00555529
31/05/2019,-0.00369,-0.009594166,-0.000343217,0.008504664,-0.003174709,-0.006581705,-0.011989888
28/06/2019,-0.00385,0.014968039,-0.020589413,0.004309184,-0.023759214,0.02714827,-0.009731838
31/07/2019,-0.00395,0.009249619,0.000300824,0.004360162,-0.020096593,0.039862437,-0.023993748
30/08/2019,-0.0041,0.013573179,-0.002935973,-0.001355056,0.011587451,-9.42E-05,0.001952705
30/09/2019,-0.00448,0.007629908,-0.005297425,-0.00650646,0.004342523,-0.008684542,0.01428634
31/10/2019,-0.00455,0.000463227,0.016676021,0.000450294,0.00308303,-0.01173225,0.00170888
29/11/2019,-0.0045,0.003208378,0.007226122,-0.003448117,-0.011499388,0.014789331,-0.004794193
30/12/2019,-0.00453,-0.002427525,0.003833944,0.000261514,-0.003462694,-0.00315733,-0.005241258
31/01/2020,-0.00457,-0.006576704,0.007340295,-0.001518732,-0.008852377,-0.000956712,0.001689489
28/02/2020,-0.00473,-0.028887165,-0.01177941,-0.002863035,0.011484537,-0.018487611,-0.008967011
31/03/2020,-0.00478,0.019043993,0.022688901,-0.017812669,0.014814446,-0.004736061,-0.022509113
30/04/2020,-0.00428,-0.015131601,0.029563471,-0.032663413,0.0180353,-0.027662169,0.01629435
29/05/2020,-0.00464,-0.009524459,0.010948882,-0.017017757,-0.003445754,-0.015464614,0.001911421
30/06/2020,-0.00493,0.012256007,-0.024053676,-0.013036001,0.024979024,-0.015372012,0.010725436
31/07/2020,-0.00509,-0.000402181,0.002523222,-0.020523494,0.015811458,-0.012057494,-0.005975556
