Dates,BH_BM,BN_BM,BL_BM,SH_BM,SN_BM,SL_BM,BR_PROF,BN_PROF,BW_PROF,SR_PROF,SN_PROF,SW_PROF,BC_INV,BN_INV,BA_INV,SC_INV,SN_INV,SA_INV,BW_MOME,BN_MOME,BL_MOME,SW_MOME,SN_MOME,SL_MOME
31/07/2018,0.017296,-0.005111,-0.007236,-0.007365,0.006045,-0.007617,-0.000996,0.000835,-0.002956,-0.002430,-0.005072,-0.006640,0.016654,-0.004606,0.005601,-0.003389,-0.009970,-0.000459,-0.004688,0.013313,0.008252,0.005102,-0.006223,-0.013596
31/08/2018,-0.005484,-0.007473,-0.003991,-0.000191,-0.001012,0.049440,-0.001739,-0.007060,-0.007156,-0.005413,0.036969,0.004092,-0.002922,-0.007485,-0.005160,0.009899,-0.000355,0.029004,-0.007385,-0.003348,-0.008732,0.010030,0.032889,-0.001870
28/09/2018,-0.033976,-0.013695,-0.010750,-0.005345,-0.003059,0.009784,0.002160,-0.012640,-0.018865,0.010648,-0.008857,-0.008177,-0.025865,-0.015615,-0.011459,-0.003211,-0.001980,-0.000326,-0.015559,-0.025763,-0.003356,0.005063,-0.002578,-0.008227
31/10/2018,0.009157,0.019121,0.029675,0.002947,0.009846,-0.011212,0.034339,0.025186,0.015243,0.000086,0.002326,0.006183,0.009752,0.017782,0.050381,0.006070,-0.013913,0.013789,0.017653,0.021185,0.028481,0.000074,0.011645,-0.005520
30/11/2018,-0.022361,0.004822,-0.000440,-0.000675,0.012117,0.020331,0.006099,0.007241,-0.002294,0.017684,0.010674,-0.002004,-0.015232,0.002796,-0.009414,-0.001262,0.001631,0.024540,0.002716,-0.012613,-0.008419,-0.004313,0.042245,-0.008379
28/12/2018,0.027635,0.017647,0.024913,0.003532,0.025601,0.000660,0.011038,0.028068,0.017331,0.020343,0.010633,0.002934,0.020417,0.018893,0.032825,-0.012688,0.028468,0.013633,0.018786,0.025400,0.020439,0.036172,-0.004272,0.003847
31/01/2019,-0.041124,0.001704,0.000175,-0.000969,-0.011994,0.001787,0.005336,-0.014710,-0.001961,-0.000598,-0.019162,0.015395,-0.029346,-0.002142,0.001486,0.012861,-0.012798,-0.008280,-0.002284,-0.021048,-0.004452,-0.010204,-0.002349,-0.001266
28/02/2019,0.013764,-0.000205,-0.003226,-0.006166,0.003678,0.000923,0.002683,-0.003727,0.003405,-0.001907,-0.001487,-0.003525,0.009745,0.001068,-0.006008,-0.007209,-0.004502,0.002870,0.001092,0.006257,-0.002707,0.000871,0.001877,-0.010040
29/03/2019,0.001080,0.011215,0.037164,-0.004797,0.013560,0.021635,0.006983,0.023433,0.007993,0.001774,0.012067,0.014569,0.000859,0.013153,0.009486,0.013760,0.003744,0.010306,0.013472,-0.000238,0.013888,0.002435,0.014432,0.010035
30/04/2019,-0.004921,-0.002207,0.030607,-0.009463,-0.013906,0.020055,0.009686,0.010873,-0.004370,0.012698,-0.007856,-0.030587,-0.004185,0.000038,0.007136,-0.028673,0.009478,-0.004291,-0.000368,0.001006,0.003395,-0.009713,0.016122,-0.024586
31/05/2019,-0.022224,-0.016982,-0.011307,-0.004599,-0.014418,-0.032525,-0.016065,-0.012813,-0.018932,-0.024788,-0.013969,-0.015571,-0.018732,-0.017120,-0.017869,-0.020544,-0.028723,-0.008244,-0.017114,-0.017767,-0.020891,-0.037216,-0.006540,-0.009458
28/06/2019,0.015334,0.015834,0.037060,0.016323,0.004159,-0.014022,0.011326,0.022432,0.016037,0.000633,-0.005350,0.043441,0.013117,0.018545,0.005890,0.041933,-0.000951,-0.005137,0.018289,0.013571,0.009730,-0.000771,-0.001267,0.027252
31/07/2019,0.013225,0.006012,-0.003750,0.015311,-0.022488,0.023566,-0.001933,-0.004287,0.010430,-0.008180,0.015225,0.019651,0.017422,0.005618,-0.005329,0.044077,0.007179,-0.012897,0.005851,0.011341,-0.001273,-0.024086,0.019711,0.031026
30/08/2019,0.004736,0.004374,0.010841,0.003126,0.008285,-0.000268,0.017168,0.017653,-0.000125,0.007874,0.004363,0.001993,0.006122,0.004967,0.001549,0.002772,0.003858,0.007533,0.004632,0.006305,0.007134,0.011818,-0.002018,0.005411
30/09/2019,-0.003665,0.007961,0.004916,-0.003682,-0.003748,0.000750,-0.000509,0.010216,0.004936,0.004390,-0.007217,-0.009740,-0.002543,0.006789,0.010477,-0.002583,-0.010542,0.001767,0.007431,-0.003355,0.006127,0.008827,-0.003112,-0.018442
31/10/2019,-0.018188,-0.010408,-0.016573,0.003433,0.000509,0.000917,-0.003947,-0.028882,-0.006755,-0.001725,0.010461,-0.005083,-0.017538,-0.011382,-0.011929,-0.006037,-0.002500,0.011819,-0.011352,-0.015875,-0.014601,-0.001799,0.011154,-0.001968
29/11/2019,-0.004963,0.003423,-0.001050,0.006881,0.002342,0.009865,0.006099,-0.003032,0.003246,0.004080,0.000179,0.029931,-0.003436,0.002753,-0.003426,0.025659,0.010519,-0.003930,0.002634,-0.001688,-0.004946,0.008680,-0.008043,0.025848
30/12/2019,0.007391,-0.002674,0.000019,0.000502,0.008385,0.007351,-0.004285,0.001241,-0.001536,0.006128,0.003179,0.010305,0.004160,-0.001868,0.004126,-0.000810,0.010728,0.005539,-0.001534,0.000532,0.007590,0.003548,0.008963,0.004907
31/01/2020,-0.017054,-0.017594,-0.011942,-0.009206,-0.004081,-0.011281,-0.017675,-0.036711,-0.010335,-0.016621,-0.007806,-0.006257,-0.015911,-0.017250,-0.016457,-0.010227,-0.014494,-0.007768,-0.016841,-0.018302,-0.018282,-0.006672,-0.016643,-0.008610
28/02/2020,-0.035959,-0.029310,-0.011647,-0.020364,-0.052942,-0.038949,0.003047,-0.019231,-0.034091,-0.052217,-0.042702,-0.038048,-0.036506,-0.028526,-0.019489,-0.062093,-0.037097,-0.042135,-0.028935,-0.028874,-0.029017,-0.064220,-0.024604,-0.046203
31/03/2020,-0.016168,-0.015589,0.007627,0.000818,0.030471,0.012648,0.014633,-0.019727,-0.013527,-0.000716,0.041067,-0.002184,-0.005092,-0.015771,0.001502,0.017710,0.010240,0.020588,-0.016372,-0.002820,0.006722,0.001911,0.024518,0.023835
30/04/2020,-0.041111,-0.020099,-0.004430,-0.011775,0.017955,0.016870,-0.020270,-0.022416,-0.021965,0.005398,0.022243,-0.028978,-0.034027,-0.020631,-0.020564,-0.022378,0.006073,0.019483,-0.020063,-0.034448,-0.022811,0.023170,-0.003854,-0.006671
29/05/2020,-0.021156,0.022318,0.011621,0.003741,0.036888,0.005000,0.011821,0.006210,0.018238,0.025685,0.007825,0.026160,-0.012172,0.019282,-0.002663,0.005687,0.016639,0.027108,0.018306,-0.000027,-0.009651,0.002285,0.027833,0.026418
30/06/2020,0.007168,0.017466,0.025469,-0.010688,-0.008452,-0.002918,0.015793,0.019393,0.015633,0.012287,-0.017029,-0.037511,0.008248,0.016998,0.026959,-0.024578,0.000721,-0.012545,0.016290,0.019496,0.011824,-0.002633,-0.011499,-0.019618
31/07/2020,-0.000080,-0.007391,0.018928,-0.007453,0.011893,0.014586,0.020483,-0.008839,-0.004138,0.000129,0.014225,-0.006873,0.001397,-0.005385,0.003714,-0.012554,0.010416,0.009244,-0.005838,0.003870,0.003992,-0.000131,0.011324,0.001991
31/08/2020,-0.023821,-0.005752,0.001981,-0.010358,0.002887,0.009844,0.007543,-0.001875,-0.010759,0.010998,-0.002993,-0.023212,-0.024290,-0.005890,-0.007037,-0.019040,0.017134,-0.008945,-0.006234,-0.022116,0.007463,0.001649,-0.001282,-0.008146
30/09/2020,0.014971,-0.004998,-0.006124,-0.002137,0.011138,0.008304,-0.004551,-0.002895,-0.001716,0.008790,0.009854,-0.007941,0.012824,-0.003856,-0.003411,-0.015646,0.022321,0.003768,-0.003939,0.008421,0.003038,0.005559,-0.008018,0.020956
30/10/2020,0.009401,-0.009985,-0.016562,0.010360,-0.002154,-0.002933,-0.007934,0.001695,-0.010779,-0.003643,0.006584,0.014933,0.011071,-0.010678,0.007228,0.023924,-0.006154,0.002661,-0.009879,0.003238,0.007770,-0.001177,0.000652,0.016097
30/11/2020,-0.011166,0.012542,0.012693,0.006400,-0.006586,-0.013524,0.004643,0.009852,0.009009,-0.010858,0.000293,0.005265,-0.010319,0.010864,0.018422,0.011572,-0.008036,-0.006422,0.010649,-0.006070,0.027262,-0.014921,0.005565,0.002238
30/12/2020,0.001395,0.003469,0.004530,0.009538,0.014589,0.016696,0.004411,-0.001221,0.004700,0.016032,0.019169,0.012946,0.003388,0.002887,0.009492,0.014252,0.018790,0.016261,0.003067,0.004364,0.003347,0.018748,0.012435,0.019007
29/01/2021,-0.029179,-0.025311,-0.000210,-0.003823,0.020675,0.008951,-0.013519,-0.015216,-0.027524,-0.004490,0.026522,-0.004121,-0.030477,-0.024161,-0.005315,-0.004201,-0.002897,0.025245,-0.024540,-0.021928,-0.016453,0.033809,-0.010292,0.000179
26/02/2021,-0.019351,0.012916,-0.008413,-0.005487,-0.022866,-0.016635,0.005643,0.025046,0.000180,-0.012836,-0.016084,-0.027475,-0.023747,0.010309,0.003090,-0.018723,-0.016990,-0.016979,0.010160,-0.014363,-0.006065,-0.018765,-0.020642,-0.012127
31/03/2021,-0.005849,0.011912,0.017856,0.005290,0.002160,0.017937,0.002056,0.024565,0.005115,0.013232,0.002007,0.017443,-0.006046,0.010864,0.024092,0.017372,0.008249,0.006003,0.011255,-0.000359,0.010531,0.016048,-0.005346,0.018675
30/04/2021,-0.001832,-0.014575,0.009517,-0.003506,0.000258,0.004430,0.006419,-0.006492,-0.013292,0.000296,0.007604,-0.018261,-0.002538,-0.012626,0.004096,-0.012487,0.004863,0.001335,-0.013151,0.002409,-0.003011,-0.004261,0.003760,-0.001741
31/05/2021,-0.012645,-0.003067,0.001998,0.002432,0.013780,0.002713,-0.002532,0.006467,-0.007795,0.010051,0.008676,0.002198,-0.014111,-0.003115,0.000115,0.001237,0.002590,0.015814,-0.002897,-0.011803,-0.004516,0.010775,0.015817,-0.004912
30/06/2021,-0.006191,-0.009301,-0.005288,-0.002776,0.004398,-0.001662,-0.002310,-0.010295,-0.008285,-0.005766,0.007288,-0.006386,-0.005342,-0.009384,0.000147,0.006086,-0.006381,0.000667,-0.009449,-0.002906,-0.007059,-0.001821,0.002853,-0.002695
