Dates,ADN1 GR Equity,ADV GR Equity,ABX GR Equity,AIXA GR Equity,A1OS GR Equity,AEIN GR Equity,A6T GR Equity,AOF GR Equity,3IT GR Equity,DTD2 GR Equity,BSL GR Equity,BC8 GR Equity,BSS GR Equity,MA10 GR Equity,COK GR Equity,CSH GR Equity,CTNK GR Equity,CEK GR Equity,CBK GR Equity,COP GR Equity,CPU2 GR Equity,CYR GR Equity,DAM GR Equity,D6H GR Equity,DBK GR Equity,PBB GR Equity,ELG GR Equity,FEV GR Equity,FPH GR Equity,FEW GR Equity,INW GR Equity,GGS GR Equity,HYQ GR Equity,HYI GR Equity,IFX GR Equity,IXX GR Equity,ISHA GR Equity,IVU GR Equity,JEN GR Equity,KSC GR Equity,LSX GR Equity,MDN GR Equity,AMI GR Equity,MUM GR Equity,MBK GR Equity,M3V GR Equity,MBQ GR Equity,MUB GR Equity,C1V GR Equity,M0YN GR Equity,N4G GR Equity,NEM GR Equity,VRL GR Equity,NXU GR Equity,NFN GR Equity,NIIN GR Equity,NC5A GR Equity,NB2 GR Equity,OBS GR Equity,TR9 GR Equity,PGN GR Equity,P4O GR Equity,PLEK GR Equity,PDA GR Equity,PSAN GR Equity,TPE GR Equity,QBY GR Equity,RTC GR Equity,R1B GR Equity,SAP GR Equity,SJJ GR Equity,T3T1 GR Equity,SHWK GR Equity,WAF GR Equity,SHF GR Equity,SYT GR Equity,S9I GR Equity,SMHN GR Equity,TCU GR Equity,TBX0 GR Equity,TUR GR Equity,CFC GR Equity,UMDK GR Equity,UBK GR Equity,OSP2 GR Equity,VAR1 GR Equity,V3S GR Equity,V6C GR Equity,VG0K GR Equity
03/07/2018,56.5,6.535,9.169,9.938,64.2,7.79,4.04,44.8,3.74,4.895,18.044,22.7,22.2,9.145,44.65,17.95,2.3,2.13,8.216,44.08,1.22,20.091,64.5,37.6,9.246,11.98,21.4,23.9,3.35,12.4,2.23,0.612,158.8,3.96,21.18,17.4,5.25,4.62,32.02,7.2,5.6,15.85,1.666,21.5,8.25,36.2,10.05,40.45,5.06,49.067,3.865,34.433,12.958,27.2,13.4,1.09,35.35,25.2,5.675,10.8,50.1,1.575,3.2,0.34,16.1,15.05,1.402,1.28,4.587,98.73,24.42,10.7,3.925,123.15,26.493,7.69,40.9,12.76,0.47,7.95,5.85,0.78,10.8,9.299,24.4,23.3,20.25,20.3,5.8
04/07/2018,57.8,6.315,9.333,10.025,64.2,8.179,4.07,44.55,3.74,4.86,17.8,22.5,22,9.145,43.1,17.8,2.2,2.13,8.367,45.14,1.22,20.576,65.7,38,9.357,12.21,19.62,23.7,3.4,12.2,2.23,0.608,160.4,3.96,21.07,17.05,5.07,4.7,31.34,7.04,5.575,15.85,1.571,21.9,8.25,36.2,10.05,40.5,5.22,50.7,3.87,33.567,12.958,26.3,13.349,1.13,35.25,21,5.625,11,50.5,1.625,3.1,0.33,16.2,15,1.492,1.27,4.88,98.02,24.45,10.4,4.05,115,25.605,7.74,41.255,12.78,0.47,7.95,5.8,0.78,11.55,9.137,24.2,23.4,20.55,20,5.8
05/07/2018,56.8,6.2,8.839,10.355,64.2,8.023,4.17,44.7,3.76,4.86,17.889,22.667,23,9.145,44.725,17.9,2.2,2.12,8.558,46.08,1.22,21.699,66,38,9.543,12.79,21.3,23.7,3.48,13.1,2.37,0.622,166.4,3.98,21.5,17.3,5.138,4.72,31.08,6.94,5.85,15.75,1.856,22.8,7.95,36.2,10.05,40.6,5.38,51.09,3.925,34.267,13.665,26.3,12.8,1.15,37.2,21.5,5.675,11,50.9,1.72,3.12,0.338,16.5,14.8,1.524,1.33,4.88,99.72,24.05,10.3,4,121.85,25.605,7.82,39.75,12.7,0.47,8,5.8,0.77,12.6,9.137,24.7,23.18,20,20.7,5.8
06/07/2018,54.4,6.24,9.004,9.97,65,8.023,4.13,45.5,3.78,4.79,18.178,22.967,23.4,9.31,45.225,18,2.2,2.18,8.53,46.82,1.22,20.406,65.8,37.5,9.789,12.92,20.95,23.7,3.6,13.7,2.38,0.63,166.6,3.98,21.56,17.65,5.22,4.705,31.44,6.82,5.85,15.9,1.856,23.1,7.5,36.1,9.975,40.5,5.2,51.09,3.83,34.6,13.665,27.1,12.9,1.095,34.75,23,5.7,12.1,49.2,1.77,3.12,0.352,16.4,14.75,1.49,1.34,4.88,99.4,24,10.3,4.04,121.9,24.569,7.8,39,12.72,0.47,8,5.85,0.76,11.7,9.147,24.5,22.66,15.7,20.6,5.85
09/07/2018,54.6,6.28,9.333,11.225,65,8.491,4.23,45.3,3.82,4.745,18.044,23.183,23.2,9.244,46.225,17.7,2.24,2.15,8.596,47.48,1.22,19.921,65.9,37.8,9.777,13.41,21.15,23.7,3.43,13.7,2.42,0.63,166.4,3.98,21.96,17.5,5.37,4.76,30.82,6.82,5.85,15.85,1.742,23.9,7.45,35.9,9.875,41,5.34,51.188,3.895,35.533,13.665,26.7,12.975,1.095,35.5,21,5.7,12.1,47.2,1.86,3.08,0.354,16.7,14.85,1.508,1.34,4.88,101.5,24.07,10.1,4.1,123.35,24.174,7.6,39.615,12.6,0.47,8,5.9,0.76,11.85,9.147,24.5,22.88,14.92,20.05,5.6
10/07/2018,55.5,6.275,9.273,10.92,65.2,8.491,4.2,45.6,3.82,4.62,19.244,23.617,23.4,9.244,46.3,17.9,2.2,2.08,8.446,47.82,1.22,23.161,67.1,37.55,9.719,13.39,20.45,23.8,3.4,13.8,2.37,0.624,166.6,4.62,22.15,17.25,5.37,4.84,33.5,7.12,5.85,15.85,1.685,25.1,7.4,35.9,9.925,41.2,5.24,52.26,3.79,35.6,14.451,26.3,12.892,1.08,33.45,21.05,5.75,12.1,47.95,1.82,3,0.36,16.45,15.55,1.54,1.34,4.88,101.76,24.175,10.1,4.14,124.55,24.125,7.62,40.5,13.1,0.47,8,5.9,0.785,11.75,9.051,24.2,22.82,14.92,20.2,5.65
11/07/2018,55,6.31,8.51,10.795,65,8.361,4.13,45.25,3.82,4.8,18.289,23.767,23.2,9.178,46.05,18.25,2.2,2.08,8.409,46.8,1.22,23.89,67.1,39.15,9.561,13.29,20.25,24.1,3.42,13.5,2.38,0.622,165,4.62,21.58,17.1,5.423,4.835,32.24,7.37,5.65,15.8,1.714,24.7,7.6,35.9,9.8,40.7,5.3,52.26,3.475,36.167,14.451,26.2,12.625,1.1,34.6,23.2,5.8,12.1,46.35,1.715,3.16,0.396,17,15.5,1.52,1.33,4.587,100.78,24.24,10.4,4.13,121.4,22.447,7.68,40.49,12.8,0.47,8,5.9,0.79,12,9.147,24.1,22.66,14.34,19.65,5.75
12/07/2018,55.4,6.325,7.988,10.975,65,8.335,4,43.9,3.98,4.75,18.467,24.717,23.2,9.112,46.825,17.95,2.2,2.08,8.314,47.56,1.23,22.884,67.1,39.15,9.588,13.3,19.76,23.9,3.46,13,2.36,0.62,163.8,4.62,21.8,16.55,5.445,4.78,32.14,7.8,5.625,15.85,1.799,24.4,7.75,35.9,9.875,40.6,5.48,51.821,3.21,35.7,13.744,26,12.792,1.11,35.75,21.1,5.825,12.1,44.55,1.75,3.18,0.348,17,15.45,1.516,1.35,4.587,102.08,23.9,10.4,4.15,122.15,22.743,7.67,41.55,12.78,0.47,8.05,6.05,0.845,11.65,9.337,23.9,22.98,14.36,19.45,6
13/07/2018,54.2,6.32,7.741,11.68,65,8.361,4.1,44.6,3.8,4.75,18.4,24.617,23.2,9.442,48.175,17.95,2.2,2.02,8.388,46.82,1.32,23.322,67,38.1,9.607,13.4,19.9,22.9,3.47,13.4,2.36,0.632,162.6,4.62,22.05,16.35,5.355,4.98,32.06,7.92,5.65,15.85,1.809,24.9,7.75,35.9,9.85,41,5.25,56.501,2.99,35.767,13.744,27.1,12.792,1.1,36,21.1,5.775,12.1,43,1.75,3.2,0.302,17,15.5,1.514,1.27,4.88,102.52,23.75,10.3,4.15,126.4,22.349,7.62,42.275,12.9,0.47,8.2,6.05,0.86,11.8,9.299,23.9,23.44,14.34,19.6,6.45
16/07/2018,55,6.355,7.137,12.035,64.2,8.413,4.12,43.5,3.8,4.65,18.289,24.75,23.2,9.112,49.32,18.3,2.2,2.07,8.53,47.04,1.48,25.265,67,38,10.38,13.48,20.15,24.1,3.45,13.4,2.38,0.644,164.2,4.62,22.22,15.75,5.445,4.9,31.98,8.15,5.65,15.8,1.999,23.9,7.8,36,9.6,40.8,5.24,54.99,2.6,38.233,15.314,27.5,13.02,1.06,42.4,23.4,5.6,12.1,40.65,1.77,3.2,0.312,16.8,15.5,1.454,1.29,4.88,102.9,23.875,10.4,4.15,130,22.842,7.62,42.34,13,0.47,8.3,6.05,0.865,12.3,9.175,23.5,23.78,14.5,19,6.45
