CustomerID,Month,Industry,Country,Revenue_MEUR,EBITDA_MEUR,EBITDA_Margin,Operating_Cash_Flow_MEUR,Free_Cash_Flow_MEUR,Loan_Amount_MEUR,Collateral_Value_MEUR,PD_pct,LGD_pct,Interest_Rate_pct,Days_Past_Due,Risk_Rating_1to10,Net_Debt_to_EBITDA,Debt_to_Equity,Interest_Coverage,ROIC_pct,Stage,Covenant_Breach
C1000,2024-01-01,Agriculture,Netherlands,91.55,22.72,0.2482,20.58,16.82,7.5,5.26,9.07,64.89,8.85,35,4,2.26,1.66,15.0,2.05,2,N
C1000,2024-02-01,Agriculture,Netherlands,87.5,22.48,0.2569,16.7,10.99,7.5,5.23,9.6,73.85,8.85,31,4,2.79,1.66,15.0,4.59,2,N
C1000,2024-03-01,Agriculture,Netherlands,85.57,21.14,0.2471,17.39,15.78,7.5,4.86,6.58,69.91,8.85,42,4,2.46,1.66,15.0,5.63,2,N
C1000,2024-04-01,Agriculture,Netherlands,79.59,19.62,0.2465,19.26,18.97,7.5,5.0,8.3,78.86,8.85,39,4,0.72,1.66,15.0,8.52,2,N
C1000,2024-05-01,Agriculture,Netherlands,79.55,19.53,0.2454,14.54,13.41,7.5,5.27,9.6,78.51,8.85,36,4,2.8,1.66,15.0,8.63,2,N
C1000,2024-06-01,Agriculture,Netherlands,81.84,19.53,0.2387,15.81,7.99,7.5,4.9,7.95,73.13,8.85,40,4,2.53,1.66,15.0,7.56,2,N
C1000,2024-07-01,Agriculture,Netherlands,85.87,19.7,0.2294,20.19,11.66,7.5,5.11,7.91,72.91,8.85,49,4,1.71,1.66,15.0,3.05,2,N
C1000,2024-08-01,Agriculture,Netherlands,83.39,19.7,0.2363,18.95,13.91,7.5,5.19,8.11,66.61,8.85,59,4,1.95,1.66,15.0,7.58,2,N
C1000,2024-09-01,Agriculture,Netherlands,78.12,18.33,0.2347,13.36,10.7,7.5,5.1,8.94,75.5,8.85,58,4,1.67,1.66,15.0,2.7,2,N
C1000,2024-10-01,Agriculture,Netherlands,76.2,18.01,0.2363,14.9,6.18,7.5,4.67,7.48,69.69,8.85,55,4,0.1,1.66,15.0,9.73,2,N
C1000,2024-11-01,Agriculture,Netherlands,79.51,18.42,0.2317,14.13,10.64,7.5,5.16,7.83,72.81,8.85,74,4,2.2,1.66,15.0,3.29,2,Y
C1000,2024-12-01,Agriculture,Netherlands,76.11,18.44,0.2422,13.2,5.78,7.5,5.14,7.82,70.82,8.85,84,4,1.6,1.66,15.0,3.9,2,Y
C1001,2024-01-01,Utilities,Switzerland,38.85,7.61,0.1958,7.34,5.85,6.56,7.59,23.68,67.04,7.32,0,1,3.94,2.93,14.85,8.6,1,N
C1001,2024-02-01,Utilities,Switzerland,39.53,7.29,0.1844,7.17,7.09,6.56,7.66,26.07,69.24,7.32,0,2,3.45,2.93,14.34,10.23,1,N
C1001,2024-03-01,Utilities,Switzerland,40.79,8.11,0.1989,5.69,5.65,6.56,8.31,24.6,76.87,7.32,0,2,2.5,2.93,15.0,8.29,1,N
C1001,2024-04-01,Utilities,Switzerland,40.29,8.01,0.1989,8.6,8.29,6.56,7.95,24.92,71.47,7.32,9,2,3.65,2.93,15.0,6.6,1,N
C1001,2024-05-01,Utilities,Switzerland,37.6,7.39,0.1964,6.54,3.26,6.56,8.13,24.35,63.57,7.32,25,2,4.45,2.93,13.64,5.11,1,N
C1001,2024-06-01,Utilities,Switzerland,36.06,6.51,0.1805,5.19,2.18,6.56,7.58,25.96,68.76,7.32,24,3,2.7,2.93,13.58,9.05,1,N
C1001,2024-07-01,Utilities,Switzerland,35.33,5.84,0.1654,5.17,4.3,6.56,8.14,23.55,71.12,7.32,38,3,2.99,2.93,11.74,5.77,2,N
C1001,2024-08-01,Utilities,Switzerland,35.33,5.78,0.1636,4.78,2.36,6.56,8.23,24.77,67.59,7.32,57,3,2.03,2.93,12.92,5.64,2,N
C1001,2024-09-01,Utilities,Switzerland,35.09,5.68,0.1618,5.54,5.09,6.56,8.55,24.71,71.54,7.32,55,3,2.46,2.93,12.85,9.11,2,N
C1001,2024-10-01,Utilities,Switzerland,34.09,5.57,0.1634,5.6,5.41,6.56,8.53,25.68,71.11,7.32,66,4,2.02,2.93,11.52,11.2,2,Y
C1001,2024-11-01,Utilities,Switzerland,35.37,6.04,0.1708,5.81,4.39,6.56,7.66,26.87,74.81,7.32,66,5,2.52,2.93,12.67,7.98,2,Y
C1001,2024-12-01,Utilities,Switzerland,36.95,5.83,0.1577,4.64,3.82,6.56,8.49,23.45,70.8,7.32,57,5,3.16,2.93,13.38,8.01,2,N
C1002,2024-01-01,Hospitality,Italy,33.56,4.61,0.1372,3.32,1.34,8.55,8.17,5.28,22.27,3.68,41,6,3.01,2.3,12.95,8.76,2,N
C1002,2024-02-01,Hospitality,Italy,32.76,4.48,0.1367,4.91,3.19,8.55,8.04,4.1,21.12,3.68,28,6,1.65,2.3,14.23,5.55,1,N
C1002,2024-03-01,Hospitality,Italy,33.81,4.68,0.1383,3.98,2.81,8.55,7.33,7.65,26.44,3.68,0,6,2.82,2.3,15.0,7.36,1,N
C1002,2024-04-01,Hospitality,Italy,35.73,5.07,0.1419,5.44,3.04,8.55,8.23,5.23,19.56,3.68,1,6,1.95,2.3,15.0,5.85,1,N
C1002,2024-05-01,Hospitality,Italy,34.78,4.34,0.1248,4.42,3.43,8.55,7.85,4.82,19.04,3.68,2,6,1.34,2.3,13.25,10.42,1,N
C1002,2024-06-01,Hospitality,Italy,35.61,4.3,0.1208,4.55,2.46,8.55,7.17,6.19,22.51,3.68,1,6,1.78,2.3,13.55,2.96,1,N
C1002,2024-07-01,Hospitality,Italy,36.5,5.27,0.1443,5.52,3.77,8.55,7.18,5.31,17.17,3.68,4,6,1.91,2.3,15.0,8.71,1,N
C1002,2024-08-01,Hospitality,Italy,37.19,5.51,0.1482,5.74,3.22,8.55,7.18,5.31,24.25,3.68,0,6,2.0,2.3,15.0,3.75,1,N
C1002,2024-09-01,Hospitality,Italy,36.75,5.66,0.1539,3.96,1.68,8.55,8.26,3.17,18.48,3.68,0,5,1.57,2.3,15.0,6.71,1,N
C1002,2024-10-01,Hospitality,Italy,36.93,6.06,0.1641,4.97,4.69,8.55,7.29,6.94,20.7,3.68,0,5,2.17,2.3,15.0,4.51,1,N
